A,F,ERN,TOTAL,GE10,OC2,NAC,LV	11.52 
A,F,ERN,TOTAL,GE10,OC2,NAC,MT	13.99 
A,F,ERN,TOTAL,GE10,OC2,NAC,NL	26.93 
A,F,ERN,TOTAL,GE10,OC2,NAC,NO	341.32 
A,F,ERN,TOTAL,GE10,OC2,NAC,PL	50.32 
A,F,ERN,TOTAL,GE10,OC2,NAC,PT	13.66 
A,F,ERN,TOTAL,GE10,OC2,NAC,RO	54.41 
A,F,ERN,TOTAL,GE10,OC2,NAC,RS	838.44 
A,F,ERN,TOTAL,GE10,OC2,NAC,SE	249.44 
A,F,ERN,TOTAL,GE10,OC2,NAC,SI	15.66 
A,F,ERN,TOTAL,GE10,OC2,NAC,SK	10.21 
A,F,ERN,TOTAL,GE10,OC2,PPS,AL	7.19 
A,F,ERN,TOTAL,GE10,OC2,PPS,AT	22.04 
A,F,ERN,TOTAL,GE10,OC2,PPS,BA	15.03 
A,F,ERN,TOTAL,GE10,OC2,PPS,BE	36.18 
A,F,ERN,TOTAL,GE10,OC2,PPS,BG	12.18 
A,F,ERN,TOTAL,GE10,OC2,PPS,CH	32.73 
A,F,ERN,TOTAL,GE10,OC2,PPS,CY	19.64 
A,F,ERN,TOTAL,GE10,OC2,PPS,CZ	14.4 
A,F,ERN,TOTAL,GE10,OC2,PPS,DE	25.55 
A,F,ERN,TOTAL,GE10,OC2,PPS,DK	26.61 
A,F,ERN,TOTAL,GE10,OC2,PPS,EA19	23 
A,F,ERN,TOTAL,GE10,OC2,PPS,EA20	22.92 
A,F,ERN,TOTAL,GE10,OC2,PPS,EE	14.26 
A,F,ERN,TOTAL,GE10,OC2,PPS,EL	13.54 
A,F,ERN,TOTAL,GE10,OC2,PPS,ES	20.46 
A,F,ERN,TOTAL,GE10,OC2,PPS,EU27_2020	21.86 
A,F,ERN,TOTAL,GE10,OC2,PPS,FI	21.4 
A,F,ERN,TOTAL,GE10,OC2,PPS,FR	22.02 
A,F,ERN,TOTAL,GE10,OC2,PPS,HR	15.45 
A,F,ERN,TOTAL,GE10,OC2,PPS,HU	13.78 
A,F,ERN,TOTAL,GE10,OC2,PPS,IE	31.7 
A,F,ERN,TOTAL,GE10,OC2,PPS,IS	19.98 
A,F,ERN,TOTAL,GE10,OC2,PPS,IT	24.49 
A,F,ERN,TOTAL,GE10,OC2,PPS,LT	17.43 
A,F,ERN,TOTAL,GE10,OC2,PPS,LU	31.13 
A,F,ERN,TOTAL,GE10,OC2,PPS,LV	14.39 
A,F,ERN,TOTAL,GE10,OC2,PPS,MT	15.69 
A,F,ERN,TOTAL,GE10,OC2,PPS,NL	23.01 
