geo,nace_r2,spec_ict,year
PT,J,80.09,2022
PT,J,80.64,2024
PT,L,21.8,2020
PT,L,22.58,2022
PT,L,20.49,2024
PT,M,29.95,2020
PT,M,31.03,2022
PT,M,30.91,2024
PT,N,29.51,2020
PT,N,29.67,2022
PT,N,29.37,2024
RO,C,15.43,2020
RO,C,9.35,2022
RO,C,10.01,2024
RO,D,41.45,2020
RO,D,39.34,2022
RO,D,26.83,2024
RO,E,16.19,2020
RO,E,15.36,2022
RO,E,12.75,2024
RO,F,14.63,2020
RO,F,5.55,2022
RO,F,6.27,2024
RO,G,12.2,2020
RO,G,8.0,2022
RO,G,9.97,2024
RO,H,13.58,2020
RO,H,8.32,2022
RO,H,11.07,2024
RO,I,10.26,2020
RO,I,9.1,2022
RO,I,10.77,2024
RO,J,53.4,2020
RO,J,59.51,2022
RO,J,58.39,2024
RO,L,7.84,2020
RO,L,7.44,2022
RO,L,16.51,2024
RO,M,27.64,2020
RO,M,26.23,2022
RO,M,27.73,2024
RO,N,14.31,2020
RO,N,11.35,2022
RO,N,15.56,2024
SE,C,22.25,2020
SE,C,22.27,2022
SE,C,24.01,2024
SE,D,51.66,2020
SE,D,65.21,2022
SE,D,63.22,2024
SE,E,17.51,2020
SE,E,22.11,2022
SE,E,29.15,2024
SE,F,5.81,2020
SE,F,8.91,2022
SE,F,5.5,2024
SE,G,23.2,2020
SE,G,26.32,2022
SE,G,25.22,2024
SE,H,9.63,2020
SE,H,14.18,2022
SE,H,12.86,2024
SE,I,7.79,2020
SE,I,3.33,2022
SE,I,7.2,2024
SE,J,71.87,2020
SE,J,76.1,2022
SE,J,80.79,2024
SE,L,22.84,2020
SE,L,28.83,2022
SE,L,19.41,2024
SE,M,22.81,2020
SE,M,28.79,2022
SE,M,27.39,2024
SE,N,17.58,2020
SE,N,17.64,2022
SE,N,11.41,2024
SI,C,17.22,2020
SI,C,24.28,2022
SI,C,17.52,2024
SI,D,45.25,2020
SI,D,56.31,2022
SI,D,60.1,2024
SI,E,24.21,2020
SI,E,30.13,2022
SI,E,27.82,2024
SI,F,2.59,2020
SI,F,3.5,2022
SI,F,3.31,2024
SI,G,18.75,2020
SI,G,22.65,2022
SI,G,19.67,2024
SI,H,4.87,2020
SI,H,5.56,2022
SI,H,5.07,2024
SI,I,4.95,2020
SI,I,4.6,2022
SI,I,4.79,2024
SI,J,91.38,2020
SI,J,87.08,2022
SI,J,98.25,2024
SI,L,10.63,2020
SI,L,13.23,2022
SI,L,5.21,2024
SI,M,25.31,2020
SI,M,31.5,2022
SI,M,26.71,2024
SI,N,10.39,2020
SI,N,14.76,2022
SI,N,13.8,2024
SK,C,18.5,2020
SK,C,18.57,2022
SK,C,17.41,2024
SK,D,25.2,2020
SK,D,26.98,2022
SK,D,20.22,2024
SK,E,16.49,2020
SK,E,17.65,2022
SK,E,18.56,2024
SK,F,4.49,2020
SK,F,6.23,2022
SK,F,6.89,2024
SK,G,15.43,2020
SK,G,17.52,2022
SK,G,15.19,2024
SK,H,7.29,2020
SK,H,14.47,2022
SK,H,14.95,2024
SK,I,2.46,2020
SK,I,4.37,2022
SK,I,5.1,2024
SK,J,69.63,2020
SK,J,71.88,2022
SK,J,69.72,2024
SK,L,14.97,2020
SK,L,16.03,2022
SK,L,13.07,2024
SK,M,18.24,2020
SK,M,19.53,2022
SK,M,23.11,2024
SK,N,16.9,2020
SK,N,13.37,2022
SK,N,13.68,2024
