geo,nace_r2,real_wage,year
DK,M,44.99121265377856,2022
DK,M,44.982993197278915,2023
DK,M,46.011754827875734,2024
DK,M,46.33140972794724,2025
DK,N,31.68124392614188,2020
DK,N,31.649189704480456,2021
DK,N,30.57996485061511,2022
DK,N,30.52721088435374,2023
DK,N,31.318219983207392,2024
DK,N,31.4921681780709,2025
DK,O,39.74732750242954,2020
DK,O,39.65681601525262,2021
DK,O,37.78558875219684,2022
DK,O,37.32993197278912,2023
DK,O,38.87489504617968,2024
DK,O,39.15910964550701,2025
DK,P,38.386783284742464,2020
DK,P,38.322211630123924,2021
DK,P,35.9402460456942,2022
DK,P,35.45918367346939,2023
DK,P,36.94374475230899,2024
DK,P,37.09810387469085,2025
DK,Q,33.91642371234207,2020
DK,Q,33.65109628217349,2021
DK,Q,31.810193321616875,2022
DK,Q,31.377551020408163,2023
DK,Q,32.5776658270361,2024
DK,Q,33.14097279472383,2025
DK,R,34.207968901846456,2020
DK,R,35.08102955195424,2021
DK,R,32.073813708260104,2022
DK,R,31.802721088435376,2023
DK,R,32.82955499580185,2024
DK,R,32.81121187139323,2025
DK,S,40.33041788143829,2020
DK,S,40.80076263107721,2021
DK,S,37.961335676625666,2022
DK,S,37.50000000000001,2023
DK,S,38.455079764903445,2024
DK,S,38.58202802967848,2025
EE,B,10.291438979963571,2020
EE,B,10.547419804741981,2021
EE,B,9.55995037583011,2022
EE,B,9.56393793472445,2023
EE,B,9.800128949065119,2024
EE,B,9.841914252322077,2025
EE,C,8.83424408014572,2020
EE,C,8.804044630404464,2021
EE,C,8.392322849011165,2022
EE,C,8.159443552701978,2023
EE,C,8.57511283043198,2024
EE,C,8.919234791166883,2025
EE,D,13.296903460837886,2020
EE,D,13.162482566248258,2021
EE,D,12.187112311172735,2022
EE,D,12.707330123060459,2023
EE,D,13.47517730496454,2024
EE,D,13.532632096942857,2025
EE,E,9.198542805100182,2020
EE,E,9.239888423988841,2021
EE,E,8.392322849011165,2022
EE,E,8.694489031567683,2023
EE,E,8.833010960670535,2024
EE,E,9.165282647474934,2025
EE,F,10.018214936247723,2020
EE,F,10.198744769874477,2021
EE,F,8.976136612420637,2022
EE,F,8.62760834670947,2023
EE,F,8.833010960670535,2024
EE,F,9.103770683397922,2025
EE,G,8.561020036429873,2020
EE,G,8.978382147838214,2021
EE,G,8.100415967306429,2022
EE,G,8.092562867843766,2023
EE,G,8.252740167633785,2024
EE,G,8.611674970781817,2025
EE,H,8.925318761384336,2020
EE,H,8.804044630404464,2021
EE,H,8.319346128584982,2022
EE,H,8.025682182985554,2023
EE,H,8.317214700193425,2024
EE,H,8.242603186319739,2025
EE,I,6.284153005464481,2020
EE,I,5.92747559274756,2021
EE,I,5.546230752389987,2022
EE,I,5.952380952380952,2023
EE,I,5.996131528046423,2024
EE,I,6.028172479547273,2025
EE,J,16.393442622950822,2020
EE,J,16.997907949790793,2021
EE,J,15.398088009924834,2022
EE,J,16.18512573568753,2023
