geo,nace_r2,year,share_high_skill
EL,N,2024,15.29175050301811
EL,N,2025,18.81818181818182
EL,O,2020,27.072463768115945
EL,O,2021,24.94692144373673
EL,O,2022,25.02039706282295
EL,O,2023,24.868457490999724
EL,O,2024,25.674499564838992
EL,O,2025,25.07936507936508
EL,P,2020,88.40625
EL,P,2021,89.35410580980201
EL,P,2022,88.72158252140537
EL,P,2023,87.6081582200247
EL,P,2024,88.31370117792932
EL,P,2025,88.43578819233109
EL,Q,2020,72.88651942117288
EL,Q,2021,74.85358711566619
EL,Q,2022,73.49785407725321
EL,Q,2023,74.0765391014975
EL,Q,2024,71.43336690164486
EL,Q,2025,71.75493250259606
EL,R,2020,56.65467625899281
EL,R,2021,55.37525354969575
EL,R,2022,55.85738539898132
EL,R,2023,48.83720930232558
EL,R,2024,55.762081784386616
EL,R,2025,64.9789029535865
ES,A,2020,5.265295073091501
ES,A,2021,4.330210179792353
ES,A,2022,5.054057574573401
ES,A,2023,5.434486515935713
ES,A,2024,6.443083774005009
ES,A,2025,7.332143347521626
ES,C,2020,28.093297854648263
ES,C,2021,27.127659574468083
ES,C,2022,28.020472314016274
ES,C,2023,29.369963079121835
ES,C,2024,30.8145661761836
ES,C,2025,30.110320418690463
ES,D,2020,63.56228172293363
ES,D,2021,60.30534351145038
ES,D,2022,60.475161987041034
ES,D,2023,64.24642464246425
ES,D,2024,68.48659003831418
ES,D,2025,69.40639269406392
ES,E,2020,28.73720136518771
ES,E,2021,30.086149768058316
ES,E,2022,24.698367636621715
ES,E,2023,26.25090645395214
ES,E,2024,27.666896077081898
ES,E,2025,28.53643600734843
ES,F,2020,17.093042203030798
ES,F,2021,17.737928893029032
ES,F,2022,16.998422594456546
ES,F,2023,17.51248823571997
ES,F,2024,17.232267037552155
ES,F,2025,17.93062121313003
ES,G,2020,19.988380835212904
ES,G,2021,21.033286386589264
ES,G,2022,22.13234544404038
ES,G,2023,21.410595810046733
ES,G,2024,21.81156330961204
ES,G,2025,21.660139949926172
ES,H,2020,10.887755102040817
ES,H,2021,11.267187654565241
ES,H,2022,10.10303638187289
ES,H,2023,10.352555814153952
ES,H,2024,10.103823752848824
ES,H,2025,11.328817932591518
ES,I,2020,8.910962355142878
ES,I,2021,8.98684678279417
ES,I,2022,8.272931767058235
ES,I,2023,8.215348007138608
ES,I,2024,8.040115587285399
ES,I,2025,8.635658023342724
ES,J,2020,85.06504198913224
ES,J,2021,86.48730350665055
ES,J,2022,86.72057009730025
ES,J,2023,86.76233905579399
ES,J,2024,87.52886836027713
ES,J,2025,87.6799424184261
ES,K,2020,63.26437826778813
ES,K,2021,65.52444630171334
ES,K,2022,64.40786660966225
ES,K,2023,66.6527371500209
ES,K,2024,66.30044843049329
ES,K,2025,68.04952215464812
ES,L,2020,71.54526889040163
ES,L,2021,77.22298221614227
ES,L,2022,71.64473684210527
ES,L,2023,74.52657299938913
ES,L,2024,74.20609202851587
ES,L,2025,71.17064647641236
ES,M,2020,79.25801011804384
ES,M,2021,80.32075471698114
ES,M,2022,81.99448529411765
ES,M,2023,82.92110337888823
ES,M,2024,81.40307181403071
ES,M,2025,83.24808184143222
ES,N,2020,11.34479271991911
ES,N,2021,12.158927716610819
ES,N,2022,12.47602608362102
ES,N,2023,11.422578184591915
ES,N,2024,12.128667760160377
ES,N,2025,14.089818306479259
ES,O,2020,38.43064336184456
ES,O,2021,37.47205246683559
ES,O,2022,37.10038247816988
ES,O,2023,37.87288315737264
ES,O,2024,40.10341855788566
ES,O,2025,39.52489982827705
ES,P,2020,86.49522636279644
ES,P,2021,85.8329192987437
ES,P,2022,86.11623301236085
ES,P,2023,86.57391542731821
ES,P,2024,87.43514700013304
ES,P,2025,86.81268685818277
ES,Q,2020,57.58378440631118
ES,Q,2021,53.15394311393654
ES,Q,2022,52.434396009542404
ES,Q,2023,52.96654197838737
ES,Q,2024,53.919912559618446
ES,Q,2025,55.059831585167686
ES,R,2020,56.50977153867327
ES,R,2021,53.970427163198245
ES,R,2022,56.36942675159236
ES,R,2023,56.3872255489022
ES,R,2024,56.69253152279341
ES,R,2025,59.542344892663365
ES,S,2020,21.36659436008677
ES,S,2021,21.56215621562156
ES,S,2022,21.365173288250215
ES,S,2023,21.15743621655258
ES,S,2024,22.000403307118372
ES,S,2025,22.936507936507937
FI,C,2020,47.59509588179818
FI,C,2021,43.59550561797753
FI,C,2022,43.91534391534391
FI,C,2023,45.75500303214069
FI,C,2024,44.082654978083916
FI,C,2025,44.82974070602936
FI,F,2020,27.189467658843736
FI,F,2021,23.041997729852444
FI,F,2022,25.98837209302326
FI,F,2023,25.754060324825982
FI,F,2024,27.55227552275523
FI,F,2025,24.969696969696972
FI,G,2020,34.629258517034074
FI,G,2021,31.238378579397548
FI,G,2022,29.216867469879514
FI,G,2023,30.071315372424724
FI,G,2024,31.17296222664016
FI,G,2025,31.847649918962716
FI,J,2020,94.01244167962675
FI,J,2021,93.68505195843325
