nace_r2,geo,2020,2021,2022,2023,2024
NRP,LU,50.5,55.0,60.1,49.2,44.1
NRP,NL,42.0,32.6,33.7,35.0,32.3
NRP,PL,48.8,38.4,42.1,45.8,45.3
NRP,SE,49.3,44.8,48.5,47.2,51.0
O,AT,37.6,38.4,40.1,41.0,44.1
O,BE,47.3,52.3,54.6,52.0,53.1
O,BG,54.8,55.7,56.5,55.9,60.4
O,CH,56.4,55.7,53.5,57.2,57.8
O,CY,61.2,60.5,57.8,59.7,58.6
O,CZ,42.5,44.8,46.1,43.0,45.3
O,DE,40.3,41.7,42.8,43.1,44.1
O,DK,59.1,61.6,64.3,64.1,66.6
O,EE,68.2,63.2,66.9,68.4,71.2
O,EL,53.1,52.7,53.5,56.2,56.9
O,ES,57.4,57.5,59.8,61.8,63.2
O,FI,73.0,69.3,66.9,68.6,70.4
O,FR,41.3,44.4,47.4,47.9,49.6
O,HR,48.7,48.8,46.0,49.3,50.7
O,HU,40.0,44.4,45.6,44.6,43.2
O,IE,65.0,67.2,66.5,69.9,69.6
O,IS,63.8,68.6,67.1,62.4,65.2
O,IT,29.7,31.6,33.4,36.4,37.4
O,LT,77.3,74.4,72.3,75.9,78.3
O,LU,37.2,41.1,39.9,41.3,41.0
O,LV,70.7,72.3,75.5,74.9,68.6
O,MT,31.9,28.2,30.5,33.6,36.3
O,NL,57.5,56.2,58.0,59.5,58.3
O,NO,68.0,69.6,70.2,73.6,71.7
O,PL,68.5,68.4,69.0,69.9,70.1
O,PT,33.7,34.4,35.5,36.2,38.6
O,RO,54.0,52.8,53.5,53.8,54.5
O,SE,71.4,72.1,71.4,70.9,71.9
O,SI,71.2,72.1,74.0,69.7,71.9
O,SK,44.1,51.2,49.9,52.1,51.9
P,AT,74.1,73.6,71.3,73.6,72.3
P,BE,83.7,85.7,87.2,84.5,83.8
P,BG,78.5,78.2,76.4,75.5,78.6
P,CH,71.1,71.9,71.2,71.5,70.7
P,CY,87.9,88.5,89.7,89.2,91.1
P,CZ,59.4,60.7,59.5,60.1,59.4
P,DE,71.9,72.6,70.7,71.0,71.8
P,DK,71.9,72.3,71.7,74.5,74.1
P,EE,67.9,71.4,73.1,71.5,71.5
P,EL,88.2,89.6,87.9,86.7,88.1
P,ES,88.8,88.0,88.0,89.2,89.6
P,FI,81.4,75.5,74.2,74.0,75.7
P,FR,73.3,73.1,72.1,70.7,72.3
P,HR,77.7,76.7,77.4,76.5,76.5
P,HU,72.1,72.4,72.7,72.9,70.4
P,IE,82.5,81.9,82.2,80.9,81.0
P,IS,60.6,63.4,67.0,67.8,67.8
P,IT,58.6,60.6,60.8,62.7,63.6
P,LT,71.2,73.0,74.6,70.8,70.9
P,LU,85.8,86.4,87.9,84.9,87.2
P,LV,68.3,70.0,69.5,67.5,69.2
P,MT,63.1,67.8,64.5,64.5,67.7
P,NL,79.6,76.5,74.7,73.5,74.9
P,NO,78.7,78.9,79.9,80.9,82.8
P,PL,75.9,75.8,75.5,76.8,77.5
P,PT,69.3,68.9,70.8,68.4,69.3
P,RO,66.5,67.5,68.9,67.6,69.1
P,SE,69.6,71.8,71.6,71.1,72.3
P,SI,75.4,77.6,75.7,71.4,70.6
P,SK,64.7,64.6,64.6,63.1,64.3
Q,AT,33.3,33.7,35.7,36.5,36.4
Q,BE,51.7,53.4,54.2,53.3,52.5
Q,BG,60.0,59.4,55.6,53.9,55.7
Q,CH,43.5,44.6,44.2,46.0,46.7
Q,CY,70.1,71.6,72.3,75.1,77.2
Q,CZ,34.0,36.3,36.9,38.6,38.2
Q,DE,23.6,25.0,24.5,24.9,25.9
Q,DK,50.4,50.9,50.9,51.0,50.4
Q,EE,55.3,54.2,56.8,58.8,61.4
Q,EL,59.9,62.1,61.9,60.1,58.7
Q,ES,63.5,63.2,63.0,62.7,62.8
Q,FI,53.6,48.7,48.8,50.2,49.8
Q,FR,40.6,40.5,41.8,41.7,41.9
Q,HR,35.9,38.1,39.8,40.6,43.2
