freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2012 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2022 	2024 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,NO	: 	: 	: 	14.35 	14.49 	16.37 	13.98 	14.96 	15.73 	14.34 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,PL	: 	: 	: 	6.98 	6.89 	7.36 	9.34 	11.07 	15.50 	19.97 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,PT	: 	: 	: 	7.38 	10.18 	8.65 	9.83 	10.86 	9.77 	10.09 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,RO	: 	: 	: 	2.17 	2.36 	2.57 	2.75 	2.97 	3.99 	7.52 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,RS	: 	: 	: 	: 	15.54 	13.11 	14.25 	11.94 	11.10 	11.67 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,SE	: 	: 	: 	11.33 	12.28 	11.24 	15.33 	16.36 	16.33 	16.84 b
A,GE10,C,E_ITSP2_ITT2,PC_ENT,SI	: 	: 	: 	15.56 	14.41 	15.79 	14.21 	12.74 	18.06 	13.41 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,SK	: 	: 	: 	12.01 	11.26 	11.02 	12.31 	12.30 	11.21 	11.76 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,TR	: 	: 	: 	: 	: 	5.92 	7.48 	6.53 	8.64 	8.04 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,UK	: 	: 	: 	14.91 	14.15 	14.85 	15.82 	16.47 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,AT	: 	: 	: 	24.84 	20.87 	18.65 	19.77 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,BA	: 	: 	: 	: 	: 	7.34 	7.73 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,BE	: 	: 	: 	: u	: u	22.46 	: u	: 	: 	: 
