freq,size_emp,nace_r2,indic_is,unit,geo,2021,2023,2024,2025
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,HR,15.29,10.77,22.62,18.89
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,HU,30.85,31.38,13.82,16.49
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,LT,24.64,14.39,13.28,15.21
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,LU,,,18.79,9.87
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,LV,6.81,21.5,11.71,14.76
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,MT,11.34,2.94,9.26,13.06
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,NL,23.58,28.88,16.82,17.6
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,NO,26.75,31.75,10.27,10.56
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,PL,30.37,32.35,33.59,22.89
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,PT,13.97,14.38,12.41,13.73
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,SE,21.28,18.21,13.06,11.91
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,SI,19.59,19.73,5.12,5.32
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,SK,23.84,17.44,14.54,10.49
A,GE10,C,E_AI_ADOWN,PC_ENT_AI_TANY,TR,,,,23.13
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,AT,3.46,3.08,4.56,4.82
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,BE,2.91,2.79,3.1,4.72
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,BG,,0.59,0.56,0.75
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,CY,0.54,0.18,0.52,1.34
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,CZ,0.75,1.32,1.17,
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,DK,5.13,,4.81,
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,EE,1.06,0.82,3.67,
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,EL,0.4,0.99,1.15,1.59
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,ES,1.21,1.29,1.54,2.29
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,EU27_2020,1.37,,1.71,
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,FI,3.48,4.27,3.71,
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,FR,1.02,,1.16,2.55
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,HR,1.33,0.75,2.23,2.45
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,HU,1.3,1.37,0.69,1.35
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,LT,1.25,0.69,1.17,2.92
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,LU,,,5.17,3.71
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,LV,0.18,0.89,0.98,1.82
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,MT,0.72,0.3,1.27,2.37
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,NL,2.93,3.39,3.03,5.03
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,NO,2.54,2.67,1.52,2.77
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,PL,0.72,0.94,1.74,1.79
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,PT,1.23,1.3,0.85,1.38
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,SE,1.89,1.36,2.56,3.92
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,SI,2.46,2.46,1.13,1.22
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,SK,1.33,1.13,1.22,1.7
A,GE10,C,E_AI_ADOWN,PC_ENT_IUSE,TR,,,,1.66
A,GE10,C,E_AI_AEXT,PC_ENT,AT,5.92,5.68,5.88,8.26
A,GE10,C,E_AI_AEXT,PC_ENT,BE,3.59,5.54,7.68,10.32
A,GE10,C,E_AI_AEXT,PC_ENT,BG,,0.76,1.19,1.6
A,GE10,C,E_AI_AEXT,PC_ENT,CY,1.19,1.54,1.91,1.72
A,GE10,C,E_AI_AEXT,PC_ENT,CZ,1.44,2.09,2.05,
A,GE10,C,E_AI_AEXT,PC_ENT,DK,16.06,,8.82,
A,GE10,C,E_AI_AEXT,PC_ENT,EE,1.46,1.89,3.8,
