freq,product,nrg_cons,unit,tax,currency,geo,2016,2020,flag_2016,flag_2020
S,6000,MWH20-499,KWH,X_TAX,PPS,SK,0.19979999999999998,0.14905000000000002,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,TR,0.14984999999999998,0.18235,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,PPS,UK,0.09920000000000001,,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,AL,,0.10364999999999999,NaN,e
S,6000,MWH20-499,KWH,X_VAT,EUR,AT,0.1221,0.13495000000000001,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,BA,0.0858,0.0907,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,BE,0.15339999999999998,0.15339999999999998,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,BG,0.10085,0.09445,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,CY,0.13905,0.1518,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,CZ,0.11655,0.1411,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,DE,0.1734,0.2024,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,DK,0.10015,0.0867,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,EA,0.1474,0.16165000000000002,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,EE,0.09465000000000001,0.0916,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,EL,0.1573,0.1431,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,ES,0.14384999999999998,0.14695,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,EU27_2020,0.13765,0.15095,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,FI,0.08360000000000001,0.08865,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,FR,0.11435000000000001,0.13455,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,GE,,0.05255,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,HR,0.1053,0.1211,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,HU,0.09295,0.11425,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,IE,0.1565,0.16535,NaN,NaN
S,6000,MWH20-499,KWH,X_VAT,EUR,IS,0.0769,0.07325000000000001,NaN,NaN
